batter_id,batter_name,innings_count,mean_entry_ball,median_entry_ball,mode_entry_ball,mean_entry_over,median_entry_over,mode_entry_over,position_category,min_entry_ball,max_entry_ball
26e5cabf,MK Tiwary,83,57.4,51.0,18,9.57,8.5,3.0,MIDDLE_ORDER,1,125
26ff4c29,RJ Peterson,5,97.0,104.0,108,16.17,17.33,18.0,LOWER_ORDER,59,113
271f83cd,SA Yadav,151,44.8,40.0,30,7.47,6.67,5.0,MIDDLE_ORDER,1,127
2728e7e9,P Dogra,12,88.6,88.5,54,14.76,14.75,9.0,LOWER_ORDER,52,123
27af6414,BJ Rohrer,8,63.2,58.5,48,10.54,9.75,8.0,MIDDLE_ORDER,43,104
2815fe50,AA Jhunjhunwala,15,61.1,42.0,36,10.19,7.0,6.0,MIDDLE_ORDER,6,122
28c78fb3,Harpreet Singh,8,62.6,68.5,18,10.44,11.42,3.0,LOWER_ORDER,15,124
29e95537,AM Rahane,183,10.9,2.0,0,1.82,0.33,0.0,OPENER,1,108
2a2e6343,DT Christian,41,85.5,96.0,102,14.26,16.0,17.0,LOWER_ORDER,14,125
2af1b6d2,AN Ahmed,6,115.7,116.5,108,19.28,19.42,18.0,LOWER_ORDER,99,132
2b6e6dec,AC Gilchrist,80,2.0,1.0,0,0.34,0.17,0.0,OPENER,1,11
2be41edb,MJ Guptill,13,2.3,1.0,0,0.38,0.17,0.0,OPENER,1,7
2c25d4f5,D Padikkal,74,20.1,7.0,0,3.34,1.17,0.0,TOP_ORDER,1,101
2cdce1be,C Sakariya,7,111.9,122.0,120,18.64,20.33,20.0,LOWER_ORDER,73,126
2cffab74,Mukesh Kumar,5,115.0,120.0,120,19.17,20.0,20.0,LOWER_ORDER,97,126
2e11c706,BCJ Cutting,17,96.4,98.0,90,16.06,16.33,15.0,LOWER_ORDER,39,124
2e171977,AR Patel,123,80.2,85.0,84,13.36,14.17,14.0,LOWER_ORDER,11,124
2e81a32d,B Kumar,71,110.6,114.0,114,18.43,19.0,19.0,LOWER_ORDER,51,126
2e8994e7,JP Duminy,75,53.5,55.0,12,8.92,9.17,2.0,MIDDLE_ORDER,2,118
2ed569a0,RD Chahar,22,106.7,111.0,114,17.79,18.5,19.0,LOWER_ORDER,73,126
2f49c897,Mohammed Siraj,21,109.6,111.0,108,18.27,18.5,18.0,LOWER_ORDER,93,125
2f9d0389,LH Ferguson,8,113.4,119.0,120,18.9,19.83,20.0,LOWER_ORDER,96,128
30a2649b,CM Gautam,13,48.7,14.0,0,8.12,2.33,0.0,TOP_ORDER,2,119
30a45b23,SPD Smith,93,43.0,35.0,12,7.16,5.83,2.0,MIDDLE_ORDER,1,119
30df8c66,Simarjeet Singh,6,107.0,112.5,114,17.83,18.75,19.0,LOWER_ORDER,82,121
30e37810,Sunny Singh,5,71.2,66.0,18,11.87,11.0,3.0,LOWER_ORDER,23,119
3204c99f,G Coetzee,7,104.4,113.0,114,17.4,18.83,19.0,LOWER_ORDER,81,124
32198ae0,MC Henriques,54,61.1,56.0,72,10.18,9.33,12.0,MIDDLE_ORDER,7,122
3241e3fd,N Pooran,86,65.2,65.0,60,10.86,10.83,10.0,LOWER_ORDER,5,126
327b58d3,PVD Chameera,10,110.9,114.0,120,18.48,19.0,20.0,LOWER_ORDER,91,123
331ea488,UT Khawaja,6,5.0,3.5,0,0.83,0.58,0.0,OPENER,2,13
3355b542,F du Plessis,147,12.0,4.0,0,2.0,0.67,0.0,OPENER,1,100
33a364a6,R Bhatia,47,101.1,108.0,108,16.85,18.0,18.0,LOWER_ORDER,44,125
350bb1b1,AF Milne,6,107.0,112.5,108,17.83,18.75,18.0,LOWER_ORDER,78,127
35205dfc,DR Smith,88,21.2,1.0,0,3.54,0.17,0.0,OPENER,1,109
3576e47e,S Badrinath,65,57.4,40.0,36,9.57,6.67,6.0,MIDDLE_ORDER,1,127
372455c4,Q de Kock,115,2.3,1.0,0,0.38,0.17,0.0,OPENER,1,12
378daa89,Aman Hakim Khan,10,81.6,86.0,84,13.6,14.33,14.0,LOWER_ORDER,33,115
39086549,JR Philippe,5,26.0,1.0,0,4.33,0.17,0.0,OPENER,1,122
39a2dfa8,R Tewatia,76,90.8,97.5,108,15.14,16.25,18.0,LOWER_ORDER,29,127
39f01cdb,KP Pietersen,36,27.9,21.5,0,4.65,3.58,0.0,TOP_ORDER,1,98
3a02626a,AG Paunikar,5,4.6,1.0,0,0.77,0.17,0.0,OPENER,1,17
3a60e0b5,WD Parnell,13,98.8,107.0,102,16.47,17.83,17.0,LOWER_ORDER,6,123
3ae3f034,AUK Pathan,7,82.7,107.0,114,13.79,17.83,19.0,LOWER_ORDER,3,119
3c6ffae8,YK Pathan,153,62.8,63.0,84,10.46,10.5,14.0,LOWER_ORDER,1,120
3d284ca3,PD Salt,34,5.9,1.0,0,0.98,0.17,0.0,OPENER,1,95
